ID,title,year,director,lb_url,letterboxd_rating,lb_avg,imdb_rating,imdb_avg,tomatometer,rt_avg,metascore,mc_avg,tmdb_rating,tmdb_avg
97,Wings,1927,"William A. Wellman, Harry d'Abbadie d'Arrast",https://letterboxd.com/film/wings/,3.8,3.9,7.5,7.8,94,89,78,84,72,75
96,The Broadway Melody,1929,Harry Beaumont,https://letterboxd.com/film/the-broadway-melody/,2.4,3.9,5.5,7.8,42,89,66,84,52,75
95,All Quiet on the Western Front,1930,Lewis Milestone,https://letterboxd.com/film/all-quiet-on-the-western-front/,4.2,3.9,8.1,7.8,98,89,91,84,78,75
94,Cimarron,1931,Wesley Ruggles,https://letterboxd.com/film/cimarron/,2.4,3.9,5.8,7.8,52,89,70,84,56,75
93,Grand Hotel,1932,Edmund Goulding,https://letterboxd.com/film/grand-hotel/,3.5,3.9,7.3,7.8,87,89,79,84,69,75
92,Cavalcade,1933,Frank Lloyd,https://letterboxd.com/film/cavalcade/,2.5,3.9,5.8,7.8,64,89,73,84,55,75
91,It Happened One Night,1934,Frank Capra,https://letterboxd.com/film/it-happened-one-night/,4.2,3.9,8.1,7.8,98,89,87,84,78,75
90,Mutiny on the Bounty,1935,Frank Lloyd,https://letterboxd.com/film/mutiny-on-the-bounty/,3.7,3.9,7.6,7.8,96,89,87,84,73,75
89,The Great Ziegfeld,1936,Robert Z. Leonard,https://letterboxd.com/film/the-great-ziegfeld/,3,3.9,6.6,7.8,72,89,69,84,62,75
88,The Life of Emile Zola,1937,William Dieterle,https://letterboxd.com/film/the-life-of-emile-zola/,3.3,3.9,7.1,7.8,92,89,N/A,84,67,75
87,You Can't Take It with You,1938,Frank Capra,https://letterboxd.com/film/you-cant-take-it-with-you/,3.8,3.9,7.8,7.8,94,89,N/A,84,75,75
86,Gone with the Wind,1939,Victor Fleming,https://letterboxd.com/film/gone-with-the-wind/,3.9,3.9,8.2,7.8,90,89,97,84,79,75
85,Rebecca,1940,Alfred Hitchcock,https://letterboxd.com/film/rebecca/,4.1,3.9,8.1,7.8,98,89,86,84,79,75
84,How Green Was My Valley,1941,John Ford,https://letterboxd.com/film/how-green-was-my-valley/,4,3.9,7.7,7.8,93,89,88,84,73,75
83,Mrs. Miniver,1942,William Wyler,https://letterboxd.com/film/mrs-miniver/,3.7,3.9,7.6,7.8,93,89,77,84,70,75
82,Casablanca,1943,Michael Curtiz,https://letterboxd.com/film/casablanca/,4.3,3.9,8.5,7.8,99,89,100,84,82,75
81,Going My Way,1944,Leo McCarey,https://letterboxd.com/film/going-my-way/,3.3,3.9,7,7.8,85,89,90,84,67,75
80,The Lost Weekend,1945,Billy Wilder,https://letterboxd.com/film/the-lost-weekend/,4,3.9,7.9,7.8,97,89,N/A,84,76,75
79,The Best Years of Our Lives,1946,William Wyler,https://letterboxd.com/film/the-best-years-of-our-lives/,4.2,3.9,8.1,7.8,98,89,93,84,78,75
78,Gentleman's Agreement,1947,Elia Kazan,https://letterboxd.com/film/gentlemans-agreement/,3.5,3.9,7.2,7.8,82,89,N/A,84,69,75
