title,year,tmdb_rating
Anora,2024,71
Oppenheimer,2023,81
Everything Everywhere All at Once,2022,78
CODA,2021,79
Nomadland,2021,72
Parasite,2019,85
Green Book,2018,82
The Shape of Water,2017,72
Moonlight,2016,74
Spotlight,2015,78
Birdman or (The Unexpected Virtue of Ignorance),2014,75
12 Years a Slave,2013,79
Argo,2012,73
The Artist,2012,75
The King's Speech,2010,77
Slumdog Millionaire,2008,77
The Hurt Locker,2009,73
No Country for Old Men,2007,79
The Departed,2006,82
Crash,2005,72
Million Dollar Baby,2004,80
The Lord of the Rings: The Return of the King,2003,85
Chicago,2002,71
A Beautiful Mind,2001,79
Gladiator,2000,82
American Beauty,1999,80
Shakespeare in Love,1998,69
Titanic,1997,79
The English Patient,1996,72
Braveheart,1995,79
Forrest Gump,1994,85
Schindler's List,1993,86
Unforgiven,1992,79
The Silence of the Lambs,1991,83
Dances with Wolves,1990,78
Driving Miss Daisy,1989,72
Rain Man,1988,78
The Last Emperor,1987,76
Platoon,1986,77
Out of Africa,1985,72
Amadeus,1984,80
Terms of Endearment,1983,71
Gandhi,1982,76
Chariots of Fire,1981,68
Ordinary People,1980,75
Kramer vs. Kramer,1979,76
The Deer Hunter,1978,80
Annie Hall,1977,77
Rocky,1976,78
One Flew Over the Cuckoo's Nest,1975,84
The Godfather Part II,1974,86
The Sting,1973,80
The Godfather,1972,87
The French Connection,1971,75
Patton,1970,75
Midnight Cowboy,1969,75
Oliver!,1968,70
In the Heat of the Night,1967,76
A Man for All Seasons,1966,73
The Sound of Music,1965,77
My Fair Lady,1964,75
Tom Jones,1963,59
Lawrence of Arabia,1962,80
West Side Story,1961,72
The Apartment,1960,82
Ben-Hur,1959,79
Gigi,1958,62
The Bridge on the River Kwai,1957,78
Around the World in Eighty Days,1956,67
Marty,1955,74
On the Waterfront,1954,79
From Here to Eternity,1953,73
The Greatest Show on Earth,1952,63
An American in Paris,1951,70
All About Eve,1950,81
All the King's Men,1949,70
Hamlet,1948,74
Gentleman's Agreement,1947,69
The Best Years of Our Lives,1946,78
The Lost Weekend,1945,76
Going My Way,1944,67
Casablanca,1943,82
Mrs. Miniver,1942,70
How Green Was My Valley,1941,73
Rebecca,1940,79
Gone with the Wind,1939,79
You Can't Take It with You,1938,75
The Life of Emile Zola,1937,67
The Great Ziegfeld,1936,62
Mutiny on the Bounty,1935,73
It Happened One Night,1934,78
Cavalcade,1933,55
Grand Hotel,1932,69
Cimarron,1931,56
All Quiet on the Western Front,1930,78
The Broadway Melody,1929,52
Wings,1927,72
