title,tomatometer,rt_url
Anora,93,https://www.rottentomatoes.com/m/anora
Oppenheimer,93,https://www.rottentomatoes.com/m/oppenheimer_2023
Everything Everywhere All at Once,94,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once
CODA,94,https://www.rottentomatoes.com/m/coda_2021
Nomadland,93,https://www.rottentomatoes.com/m/nomadland
Parasite,99,https://www.rottentomatoes.com/m/parasite_2019
Green Book,77,https://www.rottentomatoes.com/m/green_book
The Shape of Water,92,https://www.rottentomatoes.com/m/the_shape_of_water_2017
Moonlight,98,https://www.rottentomatoes.com/m/moonlight_2016
Spotlight,97,https://www.rottentomatoes.com/m/spotlight_2015
Birdman or (The Unexpected Virtue of Ignorance),91,https://www.rottentomatoes.com/m/birdman_2014
12 Years a Slave,95,https://www.rottentomatoes.com/m/12_years_a_slave
Argo,96,https://www.rottentomatoes.com/m/argo_2012
The Artist,95,https://www.rottentomatoes.com/m/the_artist
The King's Speech,94,https://www.rottentomatoes.com/m/the_kings_speech
The Hurt Locker,96,https://www.rottentomatoes.com/m/the_hurt_locker
Slumdog Millionaire,91,https://www.rottentomatoes.com/m/slumdog_millionaire
No Country for Old Men,93,https://www.rottentomatoes.com/m/no_country_for_old_men
The Departed,91,https://www.rottentomatoes.com/m/departed
Million Dollar Baby,90,https://www.rottentomatoes.com/m/million_dollar_baby
Crash,73,https://www.rottentomatoes.com/m/1144992-crash
The Lord of the Rings: The Return of the King,94,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
Chicago,87,https://www.rottentomatoes.com/m/chicago
A Beautiful Mind,74,https://www.rottentomatoes.com/m/beautiful_mind
Gladiator,80,https://www.rottentomatoes.com/m/gladiator
American Beauty,87,https://www.rottentomatoes.com/m/american_beauty
Shakespeare in Love,92,https://www.rottentomatoes.com/m/shakespeare_in_love
Titanic,88,https://www.rottentomatoes.com/m/titanic
The English Patient,86,https://www.rottentomatoes.com/m/english_patient
Braveheart,76,https://www.rottentomatoes.com/m/1065684-braveheart
Forrest Gump,75,https://www.rottentomatoes.com/m/forrest_gump
Schindler's List,98,https://www.rottentomatoes.com/m/schindlers_list
Unforgiven,96,https://www.rottentomatoes.com/m/1041911-unforgiven
The Silence of the Lambs,95,https://www.rottentomatoes.com/m/silence_of_the_lambs
Dances With Wolves,87,https://www.rottentomatoes.com/m/dances_with_wolves
Driving Miss Daisy,85,https://www.rottentomatoes.com/m/driving_miss_daisy
Rain Man,88,https://www.rottentomatoes.com/m/rain_man
The Last Emperor,86,https://www.rottentomatoes.com/m/last_emperor
Platoon,89,https://www.rottentomatoes.com/m/platoon
Out of Africa,62,https://www.rottentomatoes.com/m/out_of_africa
Amadeus,90,https://www.rottentomatoes.com/m/amadeus
Terms of Endearment,81,https://www.rottentomatoes.com/m/terms_of_endearment
Gandhi,89,https://www.rottentomatoes.com/m/gandhi
Chariots of Fire,84,https://www.rottentomatoes.com/m/chariots_of_fire
Ordinary People,89,https://www.rottentomatoes.com/m/ordinary_people
Kramer vs. Kramer,90,https://www.rottentomatoes.com/m/kramer_vs_kramer
The Deer Hunter,86,https://www.rottentomatoes.com/m/the_deer_hunter
Annie Hall,97,https://www.rottentomatoes.com/m/annie_hall
Rocky,93,https://www.rottentomatoes.com/m/1017776-rocky
One Flew Over the Cuckoo's Nest,93,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest
"The Godfather, Part II",96,https://www.rottentomatoes.com/m/godfather_part_ii
The Sting,93,https://www.rottentomatoes.com/m/1020130-sting
The Godfather,97,https://www.rottentomatoes.com/m/the_godfather
The French Connection,97,https://www.rottentomatoes.com/m/french_connection
Patton,92,https://www.rottentomatoes.com/m/patton
Midnight Cowboy,89,https://www.rottentomatoes.com/m/midnight_cowboy
Oliver!,91,https://www.rottentomatoes.com/m/oliver
In the Heat of the Night,95,https://www.rottentomatoes.com/m/in_the_heat_of_the_night
A Man for All Seasons,89,https://www.rottentomatoes.com/m/1013162-man_for_all_seasons
The Sound of Music,83,https://www.rottentomatoes.com/m/sound_of_music
My Fair Lady,94,https://www.rottentomatoes.com/m/my_fair_lady
Tom Jones,83,https://www.rottentomatoes.com/m/tom_jones
Lawrence of Arabia,93,https://www.rottentomatoes.com/m/lawrence_of_arabia
West Side Story,92,https://www.rottentomatoes.com/m/west_side_story
The Apartment,93,https://www.rottentomatoes.com/m/1001115-apartment
Ben-Hur,87,https://www.rottentomatoes.com/m/benhur
Gigi,89,https://www.rottentomatoes.com/m/gigi
The Bridge on the River Kwai,96,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
Around the World in 80 Days,72,https://www.rottentomatoes.com/m/1001193-around_the_world_in_80_days
Marty,96,https://www.rottentomatoes.com/m/1013427-marty
On the Waterfront,99,https://www.rottentomatoes.com/m/on_the_waterfront
From Here to Eternity,88,https://www.rottentomatoes.com/m/1007931-from_here_to_eternity
The Greatest Show on Earth,50,https://www.rottentomatoes.com/m/greatest_show_on_earth
An American in Paris,95,https://www.rottentomatoes.com/m/american_in_paris
All About Eve,99,https://www.rottentomatoes.com/m/1000626-all_about_eve
All the King's Men,97,https://www.rottentomatoes.com/m/1000654-all_the_kings_men
Hamlet,96,https://www.rottentomatoes.com/m/1009123-hamlet
Gentleman's Agreement,82,https://www.rottentomatoes.com/m/gentlemans_agreement
The Best Years of Our Lives,98,https://www.rottentomatoes.com/m/best_years_of_our_lives
The Lost Weekend,97,https://www.rottentomatoes.com/m/lost_weekend
Going My Way,85,https://www.rottentomatoes.com/m/going_my_way
Casablanca,99,https://www.rottentomatoes.com/m/1003707-casablanca
Mrs. Miniver,93,https://www.rottentomatoes.com/m/mrs_miniver
How Green Was My Valley,93,https://www.rottentomatoes.com/m/how_green_was_my_valley
Rebecca,98,https://www.rottentomatoes.com/m/1017293-rebecca
Gone With the Wind,90,https://www.rottentomatoes.com/m/gone_with_the_wind
You Can't Take It With You,94,https://www.rottentomatoes.com/m/you_cant_take_it_with_you_1938
The Life of Emile Zola,92,https://www.rottentomatoes.com/m/life_of_emile_zola
The Great Ziegfeld,72,https://www.rottentomatoes.com/m/the_great_ziegfeld
Mutiny on the Bounty,96,https://www.rottentomatoes.com/m/1014481-mutiny_on_the_bounty
It Happened One Night,98,https://www.rottentomatoes.com/m/it_happened_one_night
Cavalcade,64,https://www.rottentomatoes.com/m/cavalcade
